"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Accipiter cooperii",2000,0.337,0.01,1338,1338,1338,4445,297
"Ammodramus maritimus",2000,0.254,0.046,35,35,35,154,4
"Egretta tricolor",2000,0.161,0.047,13,13,13,80,0
"Empidonax alnorum",2000,0.434,0.009,2798,2798,2798,4855,1366
"Empidonax flaviventris",2000,0.293,0.019,272,272,272,962,80
"Empidonax minimus",2000,0.518,0.01,3657,3657,3657,5001,2112
"Empidonax traillii",2000,0.44,0.01,2606,2606,2606,4654,1345
"Empidonax virescens",2000,0.285,0.019,238,238,238,1391,25
"Eremophila alpestris",2000,0.339,0.014,692,692,692,2194,269
"Euphagus carolinus",2000,0.353,0.035,117,117,117,471,20
"Falcipennis canadensis",2000,0.153,0.036,20,20,20,129,9
"Falco columbarius",2000,0.268,0.024,131,131,131,745,22
"Ammodramus nelsoni",2000,0.345,0.274,2,2,2,16,0
"Falco peregrinus",2000,0.228,0.023,109,109,109,678,31
"Falco sparverius",2000,0.497,0.011,2934,2934,2934,4586,1622
"Fulica americana",2000,0.384,0.046,79,79,79,510,5
"Gallinago delicata",2000,0.358,0.012,982,982,982,3356,257
"Gallinula chloropus",2000,0.308,0.023,192,192,192,1195,11
"Gavia immer",2000,0.393,0.019,527,527,527,1371,179
"Gelochelidon nilotica",2000,0.159,0.075,5,5,5,32,0
"Geothlypis trichas",2000,1.251,0.038,5127,5127,5127,5279,3553
"Grus canadensis",2000,0.157,0.054,9,9,9,104,0
"Haematopus palliatus",2000,0.276,0.036,67,67,67,229,15
"Ammodramus savannarum",2000,0.315,0.015,472,472,472,2364,84
"Haliaeetus leucocephalus",2000,0.316,0.016,437,437,437,2249,56
"Helmitheros vermivorum",2000,0.362,0.026,223,223,223,694,76
"Hirundo rustica",2000,0.746,0.015,4587,4587,4587,5253,3223
"Hydropogne caspia",2000,0.185,0.087,5,5,5,54,0
"Hylocichla mustelina",2000,0.675,0.013,4388,4388,4388,5247,3067
"Icteria virens",2000,0.249,0.049,27,27,27,285,0
"Icterus galbula",2000,0.712,0.015,4238,4238,4238.2,4946,2984
"Icterus spurius",2000,0.287,0.015,383,383,383,1685,126
"Ixobrychus exilis",2000,0.299,0.027,129,129,129,899,10
"Junco hyemalis",2000,0.54,0.012,2813,2813,2813,4336,1557
"Anas acuta",2000,0.928,0.351,10,10,10,83,0
"Lanius ludovicianus",2000,0.25,0.136,4,4,4,38,0
"Larus argentatus",2000,0.264,0.018,234,234,234,967,60
"Larus delawarensis",2000,0.312,0.062,31,31,31,156,10
"Larus marinus",2000,0.183,0.023,66,66,66,388,13
"Laterallus jamaicensis",2000,1.39,1.583,1,1,1,12,0
"Leucophaeus atricilla",2000,0.211,0.091,6,6,6,39,0
"Lophodytes cucullatus",2000,0.348,0.013,808,808,808,3446,84
"Loxia curvirostra",2000,0.246,0.028,83,83,83,556,7
"Loxia leucoptera",2000,0.27,0.018,236,236,236,964,73
"Megaceryle alcyon",2000,0.453,0.009,3567,3567,3567,5259,1949
"Anas americana",2000,0.272,0.061,22,22,22,178,0
"Megascops asio",2000,0.353,0.011,1127,1127,1127,3519,358
"Melanerpes carolinus",2000,0.486,0.012,2159,2159,2159,3724,1348
"Melanerpes erythrocephalus",2000,0.219,0.017,167,167,167,1175,18
"Meleagris gallopavo",2000,0.487,0.009,3615,3615,3615,5181,2177
"Melospiza georgiana",2000,0.47,0.01,3051,3051,3051,5183,1402
"Melospiza lincolnii",2000,0.277,0.019,239,239,239,799,95
"Melospiza melodia",2000,1.233,0.037,5121,5121,5121,5279,3555
"Mergus merganser",2000,0.346,0.011,1093,1093,1093,3579,269
"Mergus serrator",2000,0.167,0.039,20,20,20,157,6
"Mimus polyglottos",2000,0.444,0.012,1605,1605,1605,3541,837
"Anas clypeata",2000,0.462,0.103,25,25,25,155,3
"Mniotilta varia",2000,0.48,0.01,2737,2737,2737,4601,1403
"Molothrus ater",2000,0.661,0.013,4171,4171,4171,5078,2884
