"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Accipiter cooperii",1980,0.26,0.012,514,514,514,2862,96
"Ammodramus maritimus",1980,0.291,0.048,44,44,44,154,22
"Empidonax flaviventris",1980,0.297,0.023,186,186,186,792,45
"Empidonax minimus",1980,0.539,0.011,3668,3668,3668,4836,2336
"Empidonax traillii",1980,0.387,0.01,1861,1861,1861,3887,991
"Empidonax virescens",1980,0.351,0.029,156,156,156,890,11
"Eremophila alpestris",1980,0.344,0.011,1049,1048,1048,2879,490
"Euphagus carolinus",1980,0.314,0.028,144,144,144,553,35
"Euphagus cyanocephalus",1980,0.244,0.263,1,1,1,19,0
"Falcipennis canadensis",1980,0.223,0.046,27,27,27,155,6
"Falco peregrinus",1980,0.218,0.056,17,17,17,130,3
"Falco sparverius",1980,0.482,0.01,3266,3266,3266.1,4843,2115
"Ammodramus savannarum",1980,0.348,0.013,775,775,775,2727,200
"Fulica americana",1980,0.261,0.034,62,62,62,420,1
"Gallinago delicata",1980,0.324,0.011,920,920,920,3117,296
"Gallinula chloropus",1980,0.387,0.024,277,277,277,1477,27
"Gavia immer",1980,0.336,0.019,361,361,361,1016,123
"Gelochelidon nilotica",1980,0.173,0.112,3,3,3,19,1
"Geothlypis trichas",1980,1.414,0.053,4941,4940.8,4940.6,5058,3488
"Haematopus palliatus",1980,0.329,0.058,39,38.8,38.8,128,12
"Haliaeetus leucocephalus",1980,0.229,0.041,34,34,34,311,4
"Helmitheros vermivorum",1980,0.364,0.027,216,216,216,673,96
"Hirundo rustica",1980,0.913,0.021,4686,4686,4686,5058,3353
"Anas acuta",1980,0.235,0.045,29,29,29,276,1
"Hydropogne caspia",1980,49.254,36.609,3,3,3,9,0
"Hylocichla mustelina",1980,0.772,0.016,4550,4550,4550,5058,3308
"Icteria virens",1980,0.448,0.045,114,114,114,665,15
"Icterus galbula",1980,0.71,0.015,4212,4212,4212,4990,3065
"Icterus spurius",1980,0.35,0.025,214,214,214,1118,24
"Ixobrychus exilis",1980,0.224,0.02,134,134,134,925,18
"Junco hyemalis",1980,0.476,0.012,2181,2181,2181,3763,1154
"Lanius ludovicianus",1980,0.213,0.047,23,23,23,191,6
"Larus argentatus",1980,0.278,0.018,252,252,252,936,66
"Larus delawarensis",1980,0.164,0.029,36,36,36,191,35
"Anas americana",1980,0.35,0.062,38,38,38,218,4
"Larus marinus",1980,0.272,0.036,63,63,63,264,12
"Laterallus jamaicensis",1980,1.681,1.931,1,1,1,12,0
"Leucophaeus atricilla",1980,0.277,0.054,31,31,31,153,3
"Lophodytes cucullatus",1980,0.298,0.016,369,369,369,1819,56
"Loxia curvirostra",1980,0.301,0.021,218,218,218,1186,36
"Loxia leucoptera",1980,0.318,0.024,199,199,199,791,49
"Megaceryle alcyon",1980,0.467,0.009,3634,3632.5,3632.5,5058,2380
"Megascops asio",1980,0.354,0.012,1059,1059,1059,3167,341
"Melanerpes carolinus",1980,0.408,0.015,944,944,944,2111,475
"Melanerpes erythrocephalus",1980,0.316,0.013,641,641,641,2556,174
"Anas clypeata",1980,0.28,0.077,15,15,15,105,0
"Meleagris gallopavo",1980,0.388,0.011,1467,1467,1467,3606,672
"Melospiza georgiana",1980,0.4,0.008,2802,2802,2802,5004,1464
"Melospiza lincolnii",1980,0.354,0.023,275,275,275,740,103
"Melospiza melodia",1980,1.454,0.057,4950,4949.8,4949.4,5058,3509
"Mergus merganser",1980,0.315,0.015,457,457,457,1674,95
"Mergus serrator",1980,0.35,0.105,13,13,13,100,0
"Mimus polyglottos",1980,0.413,0.012,1413,1413,1413,3221,794
"Mniotilta varia",1980,0.463,0.01,2665,2665,2665,4369,1582
"Molothrus ater",1980,0.666,0.013,4305,4305,4304.9,5048,3094
"Myiarchus crinitus",1980,0.578,0.011,4119,4119,4119,5058,2934
"Anas crecca",1980,0.29,0.028,111,111,111,750,3
"Myiopsitta monachus",1980,0.074,0.044,3,3,3,41,1
"Nandayus nenday",1980,0.545,0.281,5,5,5,31,0
"Nyctanassa violacea",1980,0.214,0.037,38,38,38,175,19
"Nycticorax nycticorax",1980,0.281,0.021,197,197,197,718,95
"Oporornis formosus",1980,0.354,0.059,39,39,39,300,0
"Oporornis philadelphia",1980,0.342,0.01,1351,1351,1351,3469,601
"Oxyura jamaicensis",1980,0.172,0.073,6,6,6,61,0
"Pandion haliaetus",1980,0.302,0.018,322,321.8,321.8,1275,90
"Parula americana",1980,0.366,0.022,336,336,336,983,108
"Passer domesticus",1980,0.711,0.015,3984,3984,3984,4759,2875
"Anas discors",1980,0.291,0.015,433,432.8,432.8,1924,122
"Passerculus sandwichensis",1980,0.487,0.011,2862,2862,2862,4442,1886
"Passerina caerulea",1980,0.452,0.237,4,4,4,61,0
"Passerina cyanea",1980,0.615,0.012,4070,4070,4070,5044,2840
